Fecha,EH,ET,ER,EVPTRNS,EHr,VPD,Dias_mes,IEAM_C,Clasificacion_IEAM_C
2012-05-01,0.5806451612903226,0.06451612903225806,0.06451612903225806,0.4838709677419355,0.0,0.8064516129032258,31,0.4564516129032258,Estrés leve
2012-06-01,0.7,0.3333333333333333,0.2,0.7333333333333333,0.06666666666666667,0.4,30,0.4816666666666667,Estrés moderado
2012-07-01,0.6774193548387096,0.2903225806451613,0.0967741935483871,0.7419354838709677,0.03225806451612903,0.45161290322580644,31,0.47258064516129034,Estrés leve
2012-08-01,0.5806451612903226,0.22580645161290322,0.06451612903225806,0.5161290322580645,0.12903225806451613,0.41935483870967744,31,0.3951612903225807,Favorable
2012-09-01,0.43333333333333335,0.1,0.16666666666666666,0.3333333333333333,0.2,0.1,30,0.24666666666666667,Favorable
2012-10-01,0.5161290322580645,0.22580645161290322,0.06451612903225806,0.6451612903225806,0.03225806451612903,0.8064516129032258,31,0.4919354838709677,Estrés moderado
2012-11-01,0.7,0.23333333333333334,0.0,0.9333333333333333,0.0,0.9,30,0.61,Estrés alto
2012-12-01,0.8064516129032258,0.3225806451612903,0.0,0.6451612903225806,0.0,0.7096774193548387,31,0.5403225806451613,Estrés moderado
2013-01-01,0.9354838709677419,0.3870967741935484,0.25806451612903225,0.5161290322580645,0.1935483870967742,0.03225806451612903,31,0.4290322580645161,Estrés leve
2013-02-01,0.7142857142857143,0.25,0.0,0.5714285714285714,0.0,0.35714285714285715,28,0.40714285714285714,Estrés leve
2013-03-01,0.8064516129032258,0.0,0.06451612903225806,0.6774193548387096,0.03225806451612903,0.5161290322580645,31,0.4758064516129032,Estrés leve
2013-04-01,0.8333333333333334,0.0,0.06666666666666667,0.5666666666666667,0.0,0.5333333333333333,30,0.46166666666666667,Estrés leve
2013-05-01,0.5161290322580645,0.03225806451612903,0.06451612903225806,0.7096774193548387,0.0,0.7419354838709677,31,0.4661290322580645,Estrés leve
2013-06-01,0.7666666666666667,0.1,0.06666666666666667,0.8333333333333334,0.0,0.36666666666666664,30,0.4666666666666667,Estrés leve
2013-07-01,0.7419354838709677,0.45161290322580644,0.16129032258064516,0.5806451612903226,0.1935483870967742,0.0,31,0.38225806451612904,Favorable
2013-08-01,0.6774193548387096,0.25806451612903225,0.0967741935483871,0.5483870967741935,0.06451612903225806,0.45161290322580644,31,0.43387096774193545,Estrés leve
2013-09-01,0.6,0.13333333333333333,0.1,0.5,0.1,0.5333333333333333,30,0.41666666666666663,Estrés leve
