Fecha,ET,EH,ER,EHr,IEAM_C,VPD,EVPTRNS,Cluster_IEAM,Escenario_Simulado
2012-11-01,0.2333333333333333,0.7,0.0,0.0,0.61,0.9,0.9333333333333332,3,Crítico
2012-12-01,0.3225806451612903,0.8064516129032258,0.0,0.0,0.5403225806451613,0.7096774193548387,0.6451612903225806,3,Crítico
2013-01-01,0.3870967741935484,0.935483870967742,0.2580645161290322,0.1935483870967742,0.4290322580645161,0.032258064516129,0.5161290322580645,2,Optimo
2013-02-01,0.25,0.7142857142857143,0.0,0.0,0.4071428571428571,0.3571428571428571,0.5714285714285714,2,Optimo
2013-03-01,0.0,0.8064516129032258,0.064516129032258,0.032258064516129,0.4758064516129032,0.5161290322580645,0.6774193548387096,2,Optimo
2013-04-01,0.0,0.8333333333333334,0.0666666666666666,0.0,0.4616666666666666,0.5333333333333333,0.5666666666666667,2,Optimo
2013-05-01,0.032258064516129,0.5161290322580645,0.064516129032258,0.0,0.4661290322580645,0.7419354838709677,0.7096774193548387,0,Favorable
2013-06-01,0.1,0.7666666666666667,0.0666666666666666,0.0,0.4666666666666667,0.3666666666666666,0.8333333333333334,2,Optimo
2013-07-01,0.4516129032258064,0.7419354838709677,0.1612903225806451,0.1935483870967742,0.382258064516129,0.0,0.5806451612903226,2,Optimo
2013-08-01,0.2580645161290322,0.6774193548387096,0.0967741935483871,0.064516129032258,0.4338709677419354,0.4516129032258064,0.5483870967741935,2,Optimo
2013-09-01,0.1333333333333333,0.6,0.1,0.1,0.4166666666666666,0.5333333333333333,0.5,2,Optimo
2013-10-01,0.2580645161290322,0.6774193548387096,0.1290322580645161,0.032258064516129,0.467741935483871,0.6129032258064516,0.5161290322580645,2,Optimo
2013-11-01,0.1333333333333333,0.7666666666666667,0.0,0.0,0.5683333333333334,1.0,0.5666666666666667,0,Favorable
2013-12-01,0.2258064516129032,0.7741935483870968,0.0,0.0,0.5112903225806451,0.6129032258064516,0.7096774193548387,3,Crítico
2014-01-01,0.3225806451612903,0.935483870967742,0.0,0.3548387096774194,0.432258064516129,0.032258064516129,0.6129032258064516,2,Optimo
2014-02-01,0.0714285714285714,0.7857142857142857,0.0,0.1785714285714285,0.3928571428571428,0.1428571428571428,0.6785714285714286,2,Optimo
2014-03-01,0.0967741935483871,0.8064516129032258,0.1290322580645161,0.1935483870967742,0.5064516129032258,0.3548387096774194,0.8709677419354839,1,Riesgo
2014-04-01,0.0,0.7666666666666667,0.0666666666666666,0.3,0.4883333333333333,0.2666666666666666,0.9666666666666668,1,Riesgo
2014-05-01,0.032258064516129,0.6129032258064516,0.0967741935483871,0.1290322580645161,0.3903225806451613,0.3548387096774194,0.6129032258064516,2,Optimo
2014-06-01,0.0333333333333333,0.8666666666666667,0.0666666666666666,0.3333333333333333,0.4533333333333333,0.0,0.9666666666666668,1,Riesgo
2014-07-01,0.1290322580645161,0.8709677419354839,0.1612903225806451,0.5483870967741935,0.4241935483870968,0.0,0.6129032258064516,2,Optimo
2014-08-01,0.2258064516129032,0.5483870967741935,0.1612903225806451,0.4838709677419355,0.4435483870967741,0.1290322580645161,0.935483870967742,1,Riesgo
2014-09-01,0.1,0.6333333333333333,0.2,0.2666666666666666,0.4216666666666666,0.2666666666666666,0.7,2,Optimo
2014-10-01,0.0,0.5161290322580645,0.0,0.032258064516129,0.4838709677419355,0.8387096774193549,0.7096774193548387,0,Favorable
2014-11-01,0.2,0.5,0.0,0.0,0.525,0.9333333333333332,0.7333333333333333,0,Favorable
2014-12-01,0.5161290322580645,0.7741935483870968,0.032258064516129,0.0,0.5612903225806452,0.5806451612903226,0.8387096774193549,3,Crítico
2015-01-01,0.4516129032258064,0.7741935483870968,0.2258064516129032,0.4516129032258064,0.4725806451612903,0.2258064516129032,0.5483870967741935,2,Optimo
2015-02-01,0.2142857142857142,0.7857142857142857,0.25,0.3214285714285714,0.4928571428571428,0.2142857142857142,0.8214285714285714,1,Riesgo
2015-03-01,0.1935483870967742,0.7096774193548387,0.2903225806451613,0.4838709677419355,0.5048387096774194,0.2258064516129032,0.8709677419354839,1,Riesgo
2015-04-01,0.0333333333333333,0.6,0.1,0.2333333333333333,0.37,0.2,0.6666666666666666,2,Optimo
2015-05-01,0.032258064516129,0.5806451612903226,0.1612903225806451,0.2580645161290322,0.3935483870967742,0.1935483870967742,0.7741935483870968,2,Optimo
2015-06-01,0.0666666666666666,0.8333333333333334,0.0666666666666666,0.6,0.4716666666666666,0.0666666666666666,0.8666666666666667,1,Riesgo
2015-07-01,0.032258064516129,0.6774193548387096,0.0967741935483871,0.5483870967741935,0.4612903225806452,0.0967741935483871,1.0,1,Riesgo
2015-08-01,0.0967741935483871,0.6774193548387096,0.1290322580645161,0.5161290322580645,0.4677419354838709,0.0967741935483871,1.0,1,Riesgo
2015-09-01,0.0666666666666666,0.7,0.3333333333333333,0.5666666666666667,0.4816666666666666,0.0666666666666666,0.9666666666666668,1,Riesgo
2015-10-01,0.0,0.7419354838709677,0.1290322580645161,0.1612903225806451,0.4774193548387097,0.3548387096774194,0.8709677419354839,1,Riesgo
2015-11-01,0.1333333333333333,0.7333333333333333,0.0,0.0,0.4733333333333334,0.6,0.6333333333333333,0,Favorable
2015-12-01,0.1290322580645161,0.8387096774193549,0.0967741935483871,0.5161290322580645,0.4725806451612903,0.1612903225806451,0.7419354838709677,1,Riesgo
2016-01-01,0.1935483870967742,0.7741935483870968,0.0967741935483871,0.6774193548387096,0.5145161290322581,0.0967741935483871,1.0,1,Riesgo
2016-02-01,0.0344827586206896,0.6551724137931034,0.0344827586206896,0.8620689655172413,0.5431034482758621,0.3448275862068966,1.0,1,Riesgo
2016-03-01,0.1612903225806451,0.8387096774193549,0.1612903225806451,0.6129032258064516,0.5435483870967741,0.1612903225806451,1.0,1,Riesgo
2016-04-01,0.0,0.7333333333333333,0.0,0.0333333333333333,0.4866666666666667,0.4,1.0,1,Riesgo
2016-05-01,0.0,0.6129032258064516,0.032258064516129,0.064516129032258,0.3967741935483871,0.4193548387096774,0.6451612903225806,2,Optimo
2016-06-01,0.1333333333333333,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.3933333333333333,0.1,0.5666666666666667,2,Optimo
2016-07-01,0.2580645161290322,0.7419354838709677,0.0967741935483871,0.2903225806451613,0.3048387096774193,0.064516129032258,0.1935483870967742,2,Optimo
2016-08-01,0.064516129032258,0.7096774193548387,0.2258064516129032,0.2903225806451613,0.3548387096774193,0.064516129032258,0.5161290322580645,2,Optimo
2016-09-01,0.0666666666666666,0.5333333333333333,0.1333333333333333,0.2,0.3166666666666666,0.2,0.4666666666666667,2,Optimo
2016-10-01,0.032258064516129,0.6774193548387096,0.064516129032258,0.0,0.5177419354838709,0.8387096774193549,0.6451612903225806,0,Favorable
2016-11-01,0.0666666666666666,0.7,0.0,0.0,0.5716666666666667,1.0,0.7,0,Favorable
2016-12-01,0.4193548387096774,0.9032258064516128,0.0,0.0,0.5741935483870968,0.7096774193548387,0.6451612903225806,3,Crítico
2017-01-01,0.2580645161290322,0.935483870967742,0.064516129032258,0.064516129032258,0.4983870967741935,0.5161290322580645,0.4838709677419355,3,Crítico
2017-02-01,0.1785714285714285,0.9285714285714286,0.1785714285714285,0.3571428571428571,0.5214285714285715,0.0714285714285714,1.0,1,Riesgo
2017-03-01,0.1290322580645161,0.5161290322580645,0.0,0.0967741935483871,0.4548387096774193,0.5161290322580645,0.8709677419354839,0,Favorable
2017-04-01,0.1333333333333333,0.6,0.2333333333333333,0.1333333333333333,0.45,0.4666666666666667,0.6666666666666666,2,Optimo
2017-05-01,0.0,0.5483870967741935,0.1290322580645161,0.0,0.4774193548387097,0.8709677419354839,0.5483870967741935,0,Favorable
2017-06-01,0.1,0.5333333333333333,0.0333333333333333,0.0,0.4166666666666666,0.6,0.6,0,Favorable
2017-07-01,0.064516129032258,0.6451612903225806,0.032258064516129,0.0,0.3887096774193548,0.3548387096774194,0.6451612903225806,2,Optimo
2017-08-01,0.064516129032258,0.7096774193548387,0.1290322580645161,0.032258064516129,0.3274193548387097,0.2258064516129032,0.3548387096774194,2,Optimo
