year_month,ET,EH,ER,EHR,IEAM_C,Escenario_IEAM_C
2012-04,0.4918858997361768,0.4,0.1,0.0,0.3475657699208531,Favorable
2012-05,0.4717533518540978,0.5806451612903226,0.12903225806451613,0.0,0.42862277974977775,Favorable
2012-06,0.5304883727503644,0.7,0.03333333333333333,0.03333333333333333,0.48247984515844267,Intermedio
2012-07,0.49319806231451946,0.6774193548387096,0.06451612903225806,0.22580645161290322,0.4769916767588719,Intermedio
2012-08,0.46282605127513554,0.5806451612903226,0.0967741935483871,0.16129032258064516,0.4275574928018955,Favorable
2012-09,0.46459502828661076,0.43333333333333335,0.1,0.13333333333333333,0.3610451751526499,Favorable
2012-10,0.5492500238606504,0.5161290322580645,0.06451612903225806,0.0,0.4099362974807757,Favorable
2012-11,0.6325726129237167,0.7,1.0,0.0,0.704771783877115,Crítico
2012-12,0.5497354000933746,0.8064516129032258,0.03225806451612903,0.03225806451612903,0.5358883619634962,Intermedio
2013-01,0.4637032964122583,0.9354838709677419,0.9354838709677419,0.16129032258064516,0.755240021181742,Crítico
2013-02,0.37563455245953714,0.7142857142857143,0.07142857142857142,0.0,0.44840465145214686,Favorable
2013-03,0.3948051907189631,0.8064516129032258,0.0,0.03225806451612903,0.482957686247947,Intermedio
2013-04,0.4918858997361768,0.8333333333333334,0.03333333333333333,0.1,0.5342324365875197,Intermedio
2013-05,0.4717533518540978,0.5161290322580645,0.0,0.03225806451612903,0.3753969732981648,Favorable
2013-06,0.5304883727503644,0.7666666666666667,0.0,0.0,0.5041465118251094,Intermedio
2013-07,0.49319806231451946,0.7419354838709677,0.0,0.25806451612903225,0.49473361224274287,Intermedio
2013-08,0.4628260512751356,0.6774193548387096,0.0,0.0967741935483871,0.4485252347373793,Favorable
2013-09,0.4645950282866107,0.6,0.0,0.1,0.41437850848598323,Favorable
2013-10,0.5492500238606505,0.6774193548387096,0.0,0.0,0.4696137168356145,Intermedio
2013-11,0.6325726129237167,0.7666666666666667,0.9333333333333333,0.0,0.7214384505437816,Crítico
2013-12,0.5497354000933746,0.7741935483870968,0.03225806451612903,0.0,0.5197593297054318,Intermedio
2014-01,0.4637032964122583,0.9354838709677419,0.0,0.0,0.5600787308591614,Intermedio
2014-02,0.37563455245953714,0.7857142857142857,0.0,0.0,0.4662617943092897,Intermedio
2014-03,0.3948051907189631,0.8064516129032258,0.0,0.0,0.48134478302214057,Intermedio
2014-04,0.4918858997361768,0.7666666666666667,0.0,0.0,0.4925657699208531,Intermedio
2014-05,0.4717533518540978,0.6129032258064516,0.0,0.0,0.4173324571691326,Favorable
2014-06,0.5304883727503644,0.8666666666666667,0.0,0.0,0.5491465118251093,Intermedio
2014-07,0.49319806231451946,0.8709677419354839,0.0,0.0,0.5398949025653236,Intermedio
2014-08,0.46282605127513554,0.5483870967741935,0.0,0.25806451612903225,0.39852523473737933,Favorable
2014-09,0.46459502828661076,0.6333333333333333,0.0,0.23333333333333334,0.43604517515264984,Favorable
2014-10,0.5492500238606505,0.5161290322580645,0.06451612903225806,0.0967741935483871,0.4147750071581951,Favorable
2014-11,0.6325726129237167,0.5,0.26666666666666666,0.0,0.46810511721044834,Intermedio
2014-12,0.5497354000933746,0.7741935483870968,0.0,0.0,0.513307716802206,Intermedio
2015-01,0.4637032964122583,0.7741935483870968,0.0,0.1935483870967742,0.49717550505270974,Intermedio
2015-02,0.37563455245953714,0.7857142857142857,0.0,0.14285714285714285,0.47340465145214683,Intermedio
2015-03,0.3948051907189631,0.7096774193548387,0.0,0.12903225806451613,0.44424800882859217,Favorable
2015-04,0.49188589973617675,0.6,0.0,0.06666666666666667,0.4208991032541864,Favorable
2015-05,0.32966689163876356,0.5806451612903226,0.0,0.0967741935483871,0.36502909974969355,Favorable
2015-06,0.441080434569994,0.8333333333333334,0.0,0.36666666666666664,0.5256574637043315,Intermedio
2015-07,0.36736272991941427,0.6774193548387096,0.0,0.3225806451612903,0.4311765609113081,Favorable
2015-08,0.38117962617178225,0.6774193548387096,0.0,0.22580645161290322,0.43048292010959915,Favorable
2015-09,0.32552808302808295,0.7,0.0,0.16666666666666666,0.4209917582417582,Favorable
2015-10,0.44462544349741023,0.7419354838709677,0.0,0.03225806451612903,0.468871504016965,Intermedio
2015-11,0.5734660766961652,0.7333333333333333,0.0,0.0,0.5020398230088495,Intermedio
2015-12,0.38184242412204034,0.8387096774193549,0.0,0.16129032258064516,0.5000365982043541,Intermedio
2016-01,0.4000996477567666,0.7741935483870968,0.7096774193548387,0.03225806451612903,0.6119653781979977,Crítico
2016-02,0.2802305101654151,0.6551724137931034,0.5172413793103449,0.0,0.48234501511859007,Intermedio
2016-03,0.20901888050505552,0.8387096774193549,0.5161290322580645,0.0967741935483871,0.5481895351192587,Intermedio
2016-04,0.4927302099537441,0.7333333333333333,0.4666666666666667,0.06666666666666667,0.5744857296527899,Intermedio
2016-05,0.5085948011832288,0.6129032258064516,0.41935483870967744,0.03225806451612903,0.5138687629356138,Intermedio
2016-06,0.4971917517006803,0.8333333333333334,0.43333333333333335,0.16666666666666666,0.6191575255102041,Crítico
2016-07,0.5105229591836735,0.7419354838709677,0.41935483870967744,0.16129032258064516,0.5789633393680053,Intermedio
2016-08,0.4244239631336405,0.7096774193548387,0.25806451612903225,0.3225806451612903,0.5144239631336406,Intermedio
2016-09,0.4557142857142857,0.5333333333333333,0.26666666666666666,0.03333333333333333,0.43171428571428566,Favorable
2016-10,0.5555691244239631,0.6774193548387096,0.3225806451612903,0.0,0.5360255760368664,Intermedio
2016-11,0.6957142857142858,0.7,0.6,0.0,0.6437142857142858,Crítico
2016-12,0.6140031582710949,0.9032258064516129,0.2903225806451613,0.0,0.6487170765135866,Crítico
2017-01,0.5518025981249005,0.9354838709677419,0.1935483870967742,0.0,0.6252181987923088,Crítico
2017-02,0.41842294610151737,0.9285714285714286,0.32142857142857145,0.07142857142857142,0.611241169544741,Crítico
2017-03,0.5305731251807687,0.5161290322580645,0.3870967741935484,0.0,0.46884935690906937,Intermedio
2017-04,0.5116452128554602,0.6,0.43333333333333335,0.03333333333333333,0.5118268971899714,Intermedio
2017-05,0.5453429680384985,0.5483870967741935,0.5806451612903226,0.0,0.5265061162180011,Intermedio
2017-06,0.5542350557244173,0.5333333333333333,0.36666666666666664,0.0,0.47960385005065853,Intermedio
2017-07,0.5082196433824043,0.6451612903225806,0.3870967741935484,0.0,0.5202078284985923,Intermedio
2017-08,0.41792803970223313,0.7096774193548387,0.5483870967741935,0.0,0.5544106699751861,Intermedio
2017-09,0.4810042735042734,0.6666666666666666,0.5666666666666667,0.0,0.5576346153846153,Intermedio
2017-10,0.5109229756418696,0.7096774193548387,0.4838709677419355,0.0,0.5694059249506255,Intermedio
2017-11,0.6313984919631569,0.6,0.43333333333333335,0.0,0.5460862142556138,Intermedio
2017-12,0.5325560146194185,0.8064516129032258,0.45161290322580644,0.0,0.6129926108374385,Crítico
2018-01,0.5417500472209078,0.8064516129032258,0.5806451612903226,0.0,0.6415572722307885,Crítico
2018-02,0.42369528855498245,0.8571428571428571,0.75,0.14285714285714285,0.6699657294236375,Crítico
2018-03,0.385307599615704,0.7096774193548387,0.6451612903225806,0.0,0.5639793766589047,Intermedio
2018-04,0.6289622099601385,0.4827586206896552,0.4482758620689655,0.0,0.4955852147121795,Intermedio
2018-05,0.6079497449270372,0.5161290322580645,0.5161290322580645,0.0,0.5178687944458531,Intermedio
2018-06,0.556594387755102,0.6333333333333333,0.5666666666666667,0.03333333333333333,0.5669783163265305,Intermedio
2018-07,0.47799539170506905,0.7419354838709677,0.5483870967741935,0.22580645161290322,0.5982373271889401,Intermedio
2018-08,0.4533016266887234,0.7741935483870968,0.25806451612903225,0.3225806451612903,0.5521195202646816,Intermedio
2018-09,0.5209266782425422,0.6,0.0,0.03333333333333333,0.42794467013942933,Favorable
2018-10,0.6185558093063087,0.6129032258064516,0.41935483870967744,0.0,0.5452441621467313,Intermedio
2018-11,0.5891160977665403,0.6,0.7666666666666667,0.0,0.6000681626632954,Crítico
2018-12,0.45547387953182983,0.9354838709677419,0.41935483870967744,0.0,0.6414808735369683,Crítico
2019-01,0.4123271889400921,0.7741935483870968,0.6129032258064516,0.0967741935483871,0.5995046082949309,Intermedio
2019-02,0.3542369832548404,0.6785714285714286,0.4642857142857143,0.03571428571428571,0.5062710949764522,Intermedio
2019-03,0.4334101382488479,0.7419354838709677,0.45161290322580644,0.03225806451612903,0.5558294930875576,Intermedio
2019-04,0.48718765976456846,0.5333333333333333,0.4666666666666667,0.0,0.4794896312627039,Intermedio
2019-05,0.5278741439634701,0.4838709677419355,0.22580645161290322,0.03225806451612903,0.4228783722212991,Favorable
2019-06,0.47326318027210884,0.7,0.43333333333333335,0.0,0.5436456207482994,Intermedio
2019-07,0.406656858865715,0.6774193548387096,0.3870967741935484,0.06451612903225806,0.5074809286274563,Intermedio
2019-08,0.42764090747961714,0.45161290322580644,0.3870967741935484,0.16129032258064516,0.41700194966324,Favorable
2019-09,0.4391045991045991,0.6333333333333333,0.4,0.1,0.5017313797313797,Intermedio
2019-10,0.5815668202764976,0.6451612903225806,0.41935483870967744,0.0,0.5486635944700461,Intermedio
2019-11,0.6031584492203962,0.6333333333333333,0.4666666666666667,0.0,0.5592808680994522,Intermedio
2019-12,0.511405529953917,0.9032258064516129,0.22580645161290322,0.0,0.6050345622119815,Crítico
2020-01,0.42039170506912443,0.8064516129032258,0.6774193548387096,0.0967741935483871,0.6293433179723503,Crítico
2020-02,0.17937192118226597,0.7586206896551724,0.5517241379310345,0.20689655172413793,0.5158805418719212,Intermedio
2020-03,0.30829493087557597,0.5806451612903226,0.3870967741935484,0.0,0.43119815668202766,Favorable
2020-04,0.2884523809523809,0.7333333333333333,0.5333333333333333,0.03333333333333333,0.5248690476190476,Intermedio
2020-05,0.28709677419354834,0.6451612903225806,0.3225806451612903,0.0,0.4409677419354839,Favorable
2020-06,0.5151190476190476,0.8,0.6,0.03333333333333333,0.636202380952381,Crítico
2020-07,0.5652073732718893,0.6774193548387096,0.5161290322580645,0.03225806451612903,0.5792396313364054,Intermedio
2020-08,0.4812211981566821,0.5806451612903226,0.4838709677419355,0.06451612903225806,0.5056566820276498,Intermedio
2020-09,0.4706883178200459,0.7666666666666667,0.3,0.0,0.5462064953460137,Intermedio
2020-10,0.48767281105990784,0.6129032258064516,0.5806451612903226,0.0,0.5382373271889401,Intermedio
2020-11,0.628095238095238,0.5,0.43333333333333335,0.06666666666666667,0.5034285714285714,Intermedio
2020-12,0.5557603686635944,0.8387096774193549,0.5483870967741935,0.0,0.6538248847926267,Crítico
2021-01,0.4437788018433179,0.9032258064516129,0.5483870967741935,0.0,0.6492626728110598,Crítico
2021-08,0.5493491275749341,0.4838709677419355,0.5806451612903226,0.0,0.49867570601441574,Intermedio
2021-09,0.4918062862538784,0.4666666666666667,0.3333333333333333,0.0,0.4242085525428302,Favorable
2021-10,0.5578225806451613,0.45161290322580644,0.41935483870967744,0.0,0.4544435483870968,Intermedio
2021-11,0.5904761904761904,0.7333333333333333,0.6333333333333333,0.0,0.6338095238095238,Crítico
2021-12,0.5387235817575083,0.8064516129032258,0.5483870967741935,0.0,0.6341977196885429,Crítico
2022-01,0.513592483712061,0.8709677419354839,0.6129032258064516,0.0,0.6685938741458763,Crítico
2022-02,0.51408621140764,0.6071428571428571,0.39285714285714285,0.17857142857142858,0.5149401491365777,Intermedio
2022-03,0.5437129690585911,0.45161290322580644,0.5483870967741935,0.0,0.47601711652402895,Intermedio
2022-04,0.5690368524948675,0.4,0.4666666666666667,0.0,0.4440443890817936,Favorable
2022-05,0.5191899412552818,0.4838709677419355,0.3870967741935484,0.0,0.4509182726991652,Intermedio
2022-06,0.679313852937341,0.43333333333333335,0.4666666666666667,0.0,0.49212748921453564,Intermedio
2022-07,0.4965067478604344,0.7096774193548387,0.41935483870967744,0.0,0.5521778308097433,Intermedio
2022-08,0.4826696600890148,0.45161290322580644,0.45161290322580644,0.0,0.4383492851234786,Favorable
2022-09,0.5120807895807895,0.6333333333333333,0.6333333333333333,0.0,0.5652909035409035,Intermedio
2022-10,0.5642676102699145,0.4838709677419355,0.4838709677419355,0.0,0.48379641211323243,Intermedio
2022-11,0.6703011980013243,0.6333333333333333,0.0,0.0,0.48609035940039724,Intermedio
2022-12,0.6075724018750993,0.8064516129032258,0.0,0.0,0.5451749463689815,Intermedio
2023-01,0.6145025557497749,0.8064516129032258,0.0,0.0,0.5472539925313841,Intermedio
2023-02,0.40382653061224477,0.75,0.0,0.0,0.45864795918367346,Intermedio
2023-03,0.4813034891375904,0.5483870967741935,0.0,0.0,0.3911652402896642,Favorable
2023-04,0.5173527679623084,0.5666666666666667,0.0,0.0,0.4102058303886925,Favorable
2023-05,0.39091193392744095,0.6451612903225806,0.0,0.0,0.40759616082339356,Favorable
2023-06,0.5304333870554543,0.7333333333333333,0.0,0.0,0.4891300161166362,Intermedio
2023-07,0.42291777555222504,0.8709677419354839,0.0,0.0,0.5188108165366353,Intermedio
2023-08,0.38362068965517243,0.8620689655172413,0.0,0.0,0.5030172413793104,Intermedio
2023-09,0.2823809523809524,0.8,0.0,0.0,0.44471428571428573,Favorable
2023-10,0.4102926267281106,0.7096774193548387,0.0,0.0,0.44244262672811063,Favorable
2023-11,0.4694047619047618,0.7666666666666667,0.0,0.0,0.48582142857142857,Intermedio
2023-12,0.3730952380952381,0.8333333333333334,0.0,0.0,0.48692857142857143,Intermedio
2024-01,0.1788018433179723,0.9354838709677419,0.0,0.0,0.47460829493087553,Intermedio
2024-02,0.28686224489795914,0.7142857142857143,0.0,0.0,0.4074872448979592,Favorable
2024-03,0.10679723502304149,0.8064516129032258,0.0,0.0,0.3949423963133641,Favorable
2024-04,0.28809523809523807,0.7,0.0,0.0,0.4014285714285714,Favorable
2024-05,0.2940092165898618,0.5806451612903226,0.0,0.0,0.34949308755760367,Favorable
2024-06,0.4307142857142857,0.5,0.0,0.0,0.3542142857142857,Favorable
2024-07,0.3695852534562211,0.8064516129032258,0.0,0.0967741935483871,0.4786175115207373,Intermedio
2024-08,0.3976958525345622,0.7096774193548387,0.0,0.06451612903225806,0.441889400921659,Favorable
2024-09,0.37523809523809526,0.7,0.0,0.1,0.4325714285714286,Favorable
2024-10,0.46635944700460824,0.6451612903225806,0.0,0.03225806451612903,0.4318433179723502,Favorable
2024-11,0.6528571428571428,0.6333333333333333,0.0,0.0,0.4808571428571428,Intermedio
2024-12,0.5214181431749562,0.8387096774193549,0.0,0.0,0.5338447977911965,Intermedio
