Fecha,PRECIPITACIÓN,TMAX,TMIN,TPROM,HR,RAD_SOL,EVPTRNS,VDL
2015-09-01,95.0,27.900333333333332,16.544666666666668,22.2225,69.51700000000001,20.33,36.01,0.821994982376636
2015-10-01,77.0,25.906451612903226,16.936774193548384,21.421612903225807,77.5067741935484,18.0841935483871,54.77,0.5837432425642327
2015-11-01,70.0,24.561666666666667,16.36733333333333,20.4645,81.53299999999999,17.046,101.74,0.4496435103604376
2015-12-01,34.0,27.71483870967742,16.696129032258067,22.205483870967743,67.97645161290322,18.82741935483871,71.41,0.8672225809944433
2016-01-01,129.0,28.620645161290323,16.308064516129033,22.464354838709678,67.1658064516129,19.05290322580645,20.16,0.8984589202985865
2016-02-01,187.0,29.815172413793103,17.838275862068965,23.826724137931034,63.993448275862065,18.578275862068963,5.58,1.0706174026762687
2016-03-01,251.0,29.533548387096772,17.659354838709678,23.596451612903227,68.16096774193548,18.771612903225805,8.7,0.9442511962726277
2016-04-01,169.0,26.409333333333333,17.918,22.163666666666664,78.69266666666667,16.305666666666667,22.01,0.5769389356993558
2016-05-01,167.0,25.51967741935484,17.279999999999998,21.399838709677418,78.90032258064515,17.011612903225807,83.02,0.5490411318875766
2016-06-01,38.0,25.907666666666668,15.824000000000002,20.865833333333335,74.20466666666667,18.307333333333336,96.14,0.6396156522962555
2016-07-01,84.0,26.072903225806453,15.548709677419355,20.8108064516129,73.3583870967742,18.42806451612903,119.88,0.6571034200128757
2016-08-01,92.0,26.681290322580644,16.21451612903226,21.447903225806453,71.75709677419354,19.951612903225808,111.99,0.7267441368032173
2016-09-01,181.0,26.288999999999998,16.039333333333335,21.164166666666667,74.91766666666666,19.107333333333333,90.19,0.6338112376228995
2016-10-01,129.0,24.656129032258065,16.306129032258063,20.481129032258064,82.61903225806452,18.643548387096775,82.38,0.4230774247820071
2016-11-01,150.0,22.66433333333333,16.387999999999998,19.526166666666665,89.09733333333334,16.607,94.05,0.25175524570919255
2016-12-01,75.0,24.04548387096774,15.021612903225806,19.533548387096772,82.06258064516129,17.353548387096776,153.94,0.4088661318593377
2017-01-01,54.0,24.622258064516128,15.454193548387096,20.03822580645161,79.31096774193549,17.78806451612903,99.24,0.48981089140649103
2017-02-01,42.0,26.827499999999997,15.526428571428571,21.176964285714288,71.7225,19.959285714285716,36.57,0.717024294591858
2017-03-01,252.0,25.291935483870965,16.096451612903227,20.694193548387098,79.6641935483871,16.356451612903225,56.16,0.5062114755621966
2017-04-01,326.0,25.104,16.43,20.767,79.19566666666667,18.896666666666665,104.88,0.5166949023508494
2017-05-01,168.0,23.95193548387097,16.539032258064516,20.245483870967742,85.10258064516128,17.69451612903226,118.77,0.35869280625959615
2017-06-01,92.0,24.451,15.984666666666667,20.21783333333333,80.111,17.219333333333335,146.13,0.4729907800408177
2017-07-01,118.0,25.27806451612903,16.069032258064517,20.673548387096773,77.58387096774193,17.81967741935484,127.81,0.5511581635596126
2017-08-01,57.0,25.976774193548387,15.980967741935485,20.978870967741937,76.05903225806452,19.28806451612903,126.14,0.5968536054536163
2017-09-01,139.0,24.567333333333334,16.30933333333333,20.438333333333333,82.05799999999999,18.42,115.59,0.434211332993581
2017-10-01,201.0,23.858387096774194,16.120322580645162,19.989354838709676,83.50129032258064,17.636451612903226,143.08,0.3912097128378565
2017-11-01,212.0,22.708000000000002,15.792333333333334,19.250166666666665,87.49166666666666,17.237333333333332,107.03999999999999,0.2829747446248329
2017-12-01,58.0,24.09774193548387,14.149354838709677,19.123548387096776,81.00935483870968,18.424516129032256,177.4,0.42083369606224746
